b_over_a,L,relative_L2_error
0.25,2,0.3625930216729921
0.25,4,0.22265050988552873
0.25,8,0.12273474492903812
0.25,16,0.07595643509068904
0.25,32,0.03648107866695766
0.25,64,0.016555909233165047
0.45,2,0.5510509616057888
0.45,4,0.39533698386339755
0.45,8,0.22945127935519655
0.45,16,0.12063229841284434
0.45,32,0.07341956395459331
0.45,64,0.03795293621963963
0.65,2,0.6993944486520314
0.65,4,0.5448923531637949
0.65,8,0.3530188526233098
0.65,16,0.18247354505064772
0.65,32,0.10338824828895153
0.65,64,0.043527140622466834
0.8,2,0.8157653362822433
0.8,4,0.6846387699899796
0.8,8,0.4856349916311206
0.8,16,0.2690476631148796
0.8,32,0.14311736139068246
0.8,64,0.06584066814373592
