ell,coefficient_abs_b_0p25,coefficient_abs_b_0p45,coefficient_abs_b_0p65,coefficient_abs_b_0p8
0,1.0,1.0,1.0,1.0
1,0.25,0.45,0.65,0.8
2,0.0625,0.2025,0.42250000000000004,0.64
3,0.015625,0.09112500000000001,0.274625,0.5120000000000001
4,0.00390625,0.04100625,0.17850625000000003,0.4096000000000001
5,0.0009765625,0.018452812500000002,0.11602906250000002,0.3276800000000001
6,0.000244140625,0.008303765625,0.07541889062500001,0.2621440000000001
7,6.103515625e-05,0.0037366945312500006,0.04902227890625001,0.20971520000000007
8,1.52587890625e-05,0.0016815125390625004,0.03186448128906251,0.16777216000000006
9,3.814697265625e-06,0.0007566806425781252,0.02071191283789063,0.13421772800000006
10,9.5367431640625e-07,0.00034050628916015635,0.013462743344628911,0.10737418240000006
11,2.384185791015625e-07,0.00015322783012207034,0.008750783174008792,0.08589934592000005
12,5.960464477539063e-08,6.895252355493165e-05,0.005688009063105715,0.06871947673600004
13,1.4901161193847656e-08,3.102863559971925e-05,0.003697205891018715,0.054975581388800036
14,3.725290298461914e-09,1.3962886019873663e-05,0.002403183829162165,0.043980465111040035
15,9.313225746154785e-10,6.283298708943148e-06,0.0015620694889554071,0.03518437208883203
16,2.3283064365386963e-10,2.8274844190244165e-06,0.0010153451678210146,0.028147497671065624
17,5.820766091346741e-11,1.2723679885609876e-06,0.0006599743590836596,0.022517998136852502
18,1.4551915228366852e-11,5.725655948524444e-07,0.0004289833334043787,0.018014398509482003
19,3.637978807091713e-12,2.576545176836e-07,0.0002788391667128462,0.014411518807585602
20,9.094947017729282e-13,1.1594453295762e-07,0.00018124545836335003,0.011529215046068483
21,2.2737367544323206e-13,5.2175039830929e-08,0.00011780954793617752,0.009223372036854787
22,5.684341886080802e-14,2.347876792391805e-08,7.65762061585154e-05,0.00737869762948383
23,1.4210854715202004e-14,1.0565445565763122e-08,4.977453400303501e-05,0.005902958103587064
24,3.552713678800501e-15,4.7544505045934055e-09,3.2353447101972754e-05,0.004722366482869652
25,8.881784197001252e-16,2.1395027270670325e-09,2.1029740616282293e-05,0.0037778931862957215
26,2.220446049250313e-16,9.627762271801647e-10,1.366933140058349e-05,0.0030223145490365774
27,5.551115123125783e-17,4.332493022310741e-10,8.885065410379269e-06,0.002417851639229262
28,1.3877787807814457e-17,1.9496218600398337e-10,5.775292516746525e-06,0.0019342813113834097
29,3.469446951953614e-18,8.773298370179252e-11,3.7539401358852415e-06,0.0015474250491067279
30,8.673617379884035e-19,3.9479842665806633e-11,2.4400610883254072e-06,0.0012379400392853823
31,2.168404344971009e-19,1.7765929199612986e-11,1.5860397074115145e-06,0.0009903520314283058
32,5.421010862427522e-20,7.994668139825843e-12,1.0309258098174845e-06,0.0007922816251426448
33,1.3552527156068805e-20,3.5976006629216294e-12,6.70101776381365e-07,0.0006338253001141158
34,3.3881317890172014e-21,1.6189202983147333e-12,4.3556615464788724e-07,0.0005070602400912927
35,8.470329472543003e-22,7.2851413424163e-13,2.831180005211267e-07,0.00040564819207303417
36,2.117582368135751e-22,3.2783136040873353e-13,1.8402670033873237e-07,0.00032451855365842736
37,5.293955920339377e-23,1.4752411218393008e-13,1.1961735522017605e-07,0.0002596148429267419
38,1.3234889800848443e-23,6.638585048276855e-14,7.775128089311443e-08,0.00020769187434139353
39,3.308722450212111e-24,2.9873632717245846e-14,5.0538332580524386e-08,0.00016615349947311485
40,8.271806125530277e-25,1.344313472276063e-14,3.284991617734085e-08,0.00013292279957849188
41,2.0679515313825692e-25,6.049410625242283e-15,2.1352445515271554e-08,0.00010633823966279351
42,5.169878828456423e-26,2.722234781359028e-15,1.387908958492651e-08,8.507059173023481e-05
43,1.2924697071141057e-26,1.2250056516115625e-15,9.021408230202232e-09,6.805647338418786e-05
44,3.2311742677852644e-27,5.512525432252032e-16,5.863915349631451e-09,5.444517870735029e-05
45,8.077935669463161e-28,2.4806364445134144e-16,3.811544977260443e-09,4.355614296588023e-05
46,2.0194839173657902e-28,1.1162864000310365e-16,2.477504235219288e-09,3.484491437270419e-05
47,5.048709793414476e-29,5.023288800139664e-17,1.6103777528925374e-09,2.7875931498163353e-05
48,1.262177448353619e-29,2.2604799600628488e-17,1.0467455393801494e-09,2.2300745198530684e-05
49,3.1554436208840472e-30,1.017215982028282e-17,6.803846005970971e-10,1.7840596158824548e-05
50,7.888609052210118e-31,4.577471919127269e-18,4.422499903881131e-10,1.4272476927059638e-05
51,1.9721522630525295e-31,2.059862363607271e-18,2.8746249375227353e-10,1.1417981541647711e-05
52,4.930380657631324e-32,9.269380636232721e-19,1.868506209389778e-10,9.13438523331817e-06
53,1.232595164407831e-32,4.1712212863047242e-19,1.2145290361033558e-10,7.307508186654536e-06
